Marca;Modelo;CantidadPuertos;TipoPuertos;Uplink;Image;PoE;TipoPoE;MultiGbps;CantidadPuertosMultiGbps;Stackeable;Layer3
Cisco;SF200-24P;24;FastEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;FALSO;SD
Cisco;SF200-24;24;FastEthernet;1Gbps;SD;FALSO;NA;SD;SD;FALSO;SD
Cisco;2960S-F24TS-S;24;FastEthernet;1Gbps;SD;FALSO;NA;SD;SD;FALSO;SD
Cisco;SF200-48P;48;FastEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;FALSO;SD
Cisco;SF200-48;48;FastEthernet;1Gbps;SD;FALSO;NA;SD;SD;FALSO;SD
Cisco;2960S-F48TS-S;48;FastEthernet;1Gbps;SD;FALSO;NA;SD;SD;FALSO;SD
Cisco;2960S-F24PS-L****;24;FastEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;VERDADERO;SD
Cisco;2960S-F24TS-L****;24;FastEthernet;1Gbps;SD;FALSO;NA;SD;SD;VERDADERO;SD
Cisco;2960S-F48LPS-L****;48;FastEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;VERDADERO;SD
Cisco;2960S-F48FPS-L****;48;FastEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;VERDADERO;SD
Cisco;2960S-F48TS-L****;48;FastEthernet;1Gbps;SD;FALSO;NA;SD;SD;VERDADERO;SD
Cisco;SG200-26P;24;GigabitEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;FALSO;SD
Cisco;2960X-24PSQ-L;24;GigabitEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;FALSO;SD
Cisco;SG200-26;24;GigabitEthernet;1Gbps;SD;FALSO;NA;SD;SD;FALSO;SD
Cisco;2960S-24TS-S;24;GigabitEthernet;1Gbps;SD;FALSO;NA;SD;SD;FALSO;SD
Cisco;2960X-24TS-LL;24;GigabitEthernet;1Gbps;SD;FALSO;NA;SD;SD;FALSO;SD
Cisco;SG200-50P;48;GigabitEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;FALSO;SD
Cisco;SG200-50;48;GigabitEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;FALSO;SD
Cisco;2960S-24TS-S;48;GigabitEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;FALSO;SD
Cisco;2960X-48TS-LL;48;GigabitEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;FALSO;SD
Cisco;2960S-24PS-L*;24;GigabitEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;VERDADERO;SD
Cisco;2960X-24PS-L***;24;GigabitEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;VERDADERO;SD
Cisco;2960S-24TS-L*;24;GigabitEthernet;1Gbps;SD;FALSO;NA;SD;SD;VERDADERO;SD
Cisco;2960X-24TS-L***;24;GigabitEthernet;1Gbps;SD;FALSO;NA;SD;SD;VERDADERO;SD
Cisco;2960S-48LPS-L*;48;GigabitEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;VERDADERO;SD
Cisco;2960S-48FPS-L*;48;GigabitEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;VERDADERO;SD
Cisco;2960X-48LPS-L***;48;GigabitEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;VERDADERO;SD
Cisco;2960X-48FPS-L***;48;GigabitEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;VERDADERO;SD
Cisco;2960S-48TS-L*;24;GigabitEthernet;1Gbps;SD;FALSO;NA;SD;SD;VERDADERO;SD
Cisco;2960X-48TS-L***;24;GigabitEthernet;1Gbps;SD;FALSO;NA;SD;SD;VERDADERO;SD
Cisco;2960S-24PD-L*;24;GigabitEthernet;10Gbps;SD;VERDADERO;SD;SD;SD;VERDADERO;SD
Cisco;2960X-24PD-L***;24;GigabitEthernet;10Gbps;SD;VERDADERO;SD;SD;SD;VERDADERO;SD
Cisco;2960S-24TD-L*;24;GigabitEthernet;10Gbps;SD;FALSO;NA;SD;SD;VERDADERO;SD
Cisco;2960X-24TD-L***;24;GigabitEthernet;10Gbps;SD;FALSO;NA;SD;SD;VERDADERO;SD
Cisco;2960S-48LPD-L*;48;GigabitEthernet;10Gbps;SD;VERDADERO;SD;SD;SD;VERDADERO;SD
Cisco;2960S-48FPD-L*;48;GigabitEthernet;10Gbps;SD;VERDADERO;SD;SD;SD;VERDADERO;SD
Cisco;2960X-48LPD-L***;48;GigabitEthernet;10Gbps;SD;VERDADERO;SD;SD;SD;VERDADERO;SD
Cisco;2960X-48FPD-L***;48;GigabitEthernet;10Gbps;SD;VERDADERO;SD;SD;SD;VERDADERO;SD
Cisco;2960S-48TD-L*;48;GigabitEthernet;10Gbps;SD;FALSO;NA;SD;SD;VERDADERO;SD
Cisco;2960X-48TD-L***;48;GigabitEthernet;10Gbps;SD;FALSO;NA;SD;SD;VERDADERO;SD
HP;JE008A;24;GigabitEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;FALSO;SD
HP;JE007A;24;GigabitEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;FALSO;SD
HP;JE006A;24;GigabitEthernet;1Gbps;SD;FALSO;NA;SD;SD;FALSO;SD
HP;JE009A;48;GigabitEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;FALSO;SD
HP;JE074A**;24;GigabitEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;VERDADERO;SD
HP;JG091A**;24;GigabitEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;VERDADERO;SD
HP;JE066A**;24;GigabitEthernet;1Gbps;SD;FALSO;NA;SD;SD;VERDADERO;SD
HP;JE067A**;48;GigabitEthernet;1Gbps;SD;VERDADERO;SD;SD;SD;VERDADERO;SD
HP;JE072A**;24;GigabitEthernet;1Gbps;SD;FALSO;NA;SD;SD;VERDADERO;SD
