Marca;Modelo;CantidadPuertos;TipoPuertos;Uplink;Image;PoE;TipoPoE;MultiGbps;CantidadPuertosMultiGbps;Stackeable;Layer3
Cisco;SF200-24P;24;FastEthernet;1Gbps;SD;TRUE;SD;SD;SD;FALSE;SD
Cisco;SF200-24;24;FastEthernet;1Gbps;SD;FALSE;NA;SD;SD;FALSE;SD
Cisco;2960S-F24TS-S;24;FastEthernet;1Gbps;SD;FALSE;NA;SD;SD;FALSE;SD
Cisco;SF200-48P;48;FastEthernet;1Gbps;SD;TRUE;SD;SD;SD;FALSE;SD
Cisco;SF200-48;48;FastEthernet;1Gbps;SD;FALSE;NA;SD;SD;FALSE;SD
Cisco;2960S-F48TS-S;48;FastEthernet;1Gbps;SD;FALSE;NA;SD;SD;FALSE;SD
Cisco;2960S-F24PS-L****;24;FastEthernet;1Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
Cisco;2960S-F24TS-L****;24;FastEthernet;1Gbps;SD;FALSE;NA;SD;SD;TRUE;SD
Cisco;2960S-F48LPS-L****;48;FastEthernet;1Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
Cisco;2960S-F48FPS-L****;48;FastEthernet;1Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
Cisco;2960S-F48TS-L****;48;FastEthernet;1Gbps;SD;FALSE;NA;SD;SD;TRUE;SD
Cisco;SG200-26P;24;GigabitEthernet;1Gbps;SD;TRUE;SD;SD;SD;FALSE;SD
Cisco;2960X-24PSQ-L;24;GigabitEthernet;1Gbps;SD;TRUE;SD;SD;SD;FALSE;SD
Cisco;SG200-26;24;GigabitEthernet;1Gbps;SD;FALSE;NA;SD;SD;FALSE;SD
Cisco;2960S-24TS-S;24;GigabitEthernet;1Gbps;SD;FALSE;NA;SD;SD;FALSE;SD
Cisco;2960X-24TS-LL;24;GigabitEthernet;1Gbps;SD;FALSE;NA;SD;SD;FALSE;SD
Cisco;SG200-50P;48;GigabitEthernet;1Gbps;SD;TRUE;SD;SD;SD;FALSE;SD
Cisco;SG200-50;48;GigabitEthernet;1Gbps;SD;TRUE;SD;SD;SD;FALSE;SD
Cisco;2960S-24TS-S;48;GigabitEthernet;1Gbps;SD;TRUE;SD;SD;SD;FALSE;SD
Cisco;2960X-48TS-LL;48;GigabitEthernet;1Gbps;SD;TRUE;SD;SD;SD;FALSE;SD
Cisco;2960S-24PS-L*;24;GigabitEthernet;1Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
Cisco;2960X-24PS-L***;24;GigabitEthernet;1Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
Cisco;2960S-24TS-L*;24;GigabitEthernet;1Gbps;SD;FALSE;NA;SD;SD;TRUE;SD
Cisco;2960X-24TS-L***;24;GigabitEthernet;1Gbps;SD;FALSE;NA;SD;SD;TRUE;SD
Cisco;2960S-48LPS-L*;48;GigabitEthernet;1Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
Cisco;2960S-48FPS-L*;48;GigabitEthernet;1Gbps;SD;TRUE;SD;SD;SD;TRUE;SD
